evaluation metrics,Value
Precision (PPV),0.954686733191559
Recall (TPR),0.933162775823473
Accuracy (ACC),0.9499099099099099
F1-Score,0.9438020538529959
False Positive Rate (FPR),0.03634693609762498
False Negative Rate (FNR),0.06683722417652702
