evaluation metrics,Value
Precision (PPV),0.9545999657358232
Recall (TPR),0.8909497921330348
Accuracy (ACC),0.9317477477477477
F1-Score,0.9216772806219502
False Positive Rate (FPR),0.03477233958798058
False Negative Rate (FNR),0.10905020786696515
