evaluation metrics,Value
Precision (PPV),0.9882060831781502
Recall (TPR),0.9841335256542345
Accuracy (ACC),0.9862564102564103
F1-Score,0.9861655998348131
False Positive Rate (FPR),0.011639779456810292
False Negative Rate (FNR),0.015866474345765505
