evaluation metrics,Value
Precision (PPV),0.9605616353499897
Recall (TPR),0.9585823202143005
Accuracy (ACC),0.9597948717948718
F1-Score,0.9595709570957096
False Positive Rate (FPR),0.03900347151317133
False Negative Rate (FNR),0.04141767978569957
