evaluation metrics,Value
Precision (PPV),0.9519736842105263
Recall (TPR),0.925487687879757
Accuracy (ACC),0.9453693693693693
F1-Score,0.9385438624939193
False Positive Rate (FPR),0.03831518173468049
False Negative Rate (FNR),0.07451231212024305
