evaluation metrics,Value
Precision (PPV),0.8791967871485944
Recall (TPR),0.8751199232491206
Accuracy (ACC),0.8895135135135135
F1-Score,0.8771536180783717
False Positive Rate (FPR),0.09867471460438262
False Negative Rate (FNR),0.12488007675087943
