evaluation metrics,Value
Precision (PPV),0.9319975713418336
Recall (TPR),0.9453910901252309
Accuracy (ACC),0.9382564102564103
F1-Score,0.9386465552384835
False Positive Rate (FPR),0.06886657101865136
False Negative Rate (FNR),0.05460890987476904
