evaluation metrics,Value
Precision (PPV),0.988626964433416
Recall (TPR),0.9851638161961673
Accuracy (ACC),0.9869743589743589
F1-Score,0.9868923521519248
False Positive Rate (FPR),0.011231366142536246
False Negative Rate (FNR),0.01483618380383268
