evaluation metrics,Value
Precision (PPV),0.9624352331606217
Recall (TPR),0.950431723696834
Accuracy (ACC),0.9609369369369369
F1-Score,0.9563958165728077
False Positive Rate (FPR),0.03044219918645847
False Negative Rate (FNR),0.04956827630316597
