Word,number,Frequency
cơ_quan,4251,0.3373809523809524
bên,4244,0.3368253968253968
công_an,4241,0.3365873015873016
ảnh,4229,0.3356349206349206
xã_hội,4198,0.3331746031746032
mình,4149,0.3292857142857143
nữa,4147,0.3291269841269841
hàng,4129,0.3276984126984127
lãnh_đạo,4117,0.32674603174603173
nơi,4072,0.32317460317460317
thứ,4049,0.32134920634920633
nếu,4046,0.3211111111111111
đảng,4026,0.31952380952380954
giữa,4021,0.31912698412698415
nhận,4020,0.319047619047619
thời_gian,4011,0.31833333333333336
nào,4011,0.31833333333333336
quốc,4010,0.31825396825396823
khoảng,3997,0.31722222222222224
trung,3979,0.3157936507936508
cách,3978,0.3157142857142857
bài,3962,0.31444444444444447
ba,3947,0.31325396825396823
viết,3917,0.31087301587301586
ngay,3904,0.30984126984126986
thông_tin,3884,0.3082539682539683
tin,3864,0.30666666666666664
cấp,3847,0.3053174603174603
cuộc,3829,0.3038888888888889
quốc_gia,3811,0.3024603174603175
anh,3770,0.2992063492063492
nhà_nước,3742,0.29698412698412696
lúc,3717,0.295
đông,3711,0.2945238095238095
bắc,3706,0.2941269841269841
văn,3701,0.29373015873015873
khu_vực,3697,0.2934126984126984
gì,3697,0.2934126984126984
đều,3666,0.29095238095238096
ngoài,3632,0.28825396825396826
xảy,3620,0.2873015873015873
tiền,3581,0.2842063492063492
con,3579,0.28404761904761905
hà_nội,3571,0.2834126984126984
khiến,3549,0.2816666666666667
hoạt_động,3525,0.27976190476190477
mọi,3517,0.2791269841269841
rõ,3493,0.2772222222222222
từng,3492,0.27714285714285714
liên_quan,3490,0.276984126984127
thuộc,3485,0.2765873015873016
bình,3468,0.2752380952380952
nhau,3452,0.27396825396825397
kinh_tế,3445,0.2734126984126984
minh,3426,0.2719047619047619
chủ_tịch,3414,0.27095238095238094
chính_trị,3367,0.26722222222222225
xây_dựng,3353,0.26611111111111113
triệu,3337,0.2648412698412698
thành,3296,0.2615873015873016
mang,3286,0.2607936507936508
huyện,3267,0.2592857142857143
dưới,3243,0.2573809523809524
tuy_nhiên,3241,0.25722222222222224
nhân_dân,3233,0.2565873015873016
đặc_biệt,3223,0.2557936507936508
ai,3201,0.254047619047619
hoặc,3196,0.2536507936507936
phát_triển,3185,0.25277777777777777
lời,3181,0.25246031746031744
sáng,3176,0.25206349206349205
tuổi,3162,0.2509523809523809
sử_dụng,3142,0.24936507936507937
phía,3137,0.24896825396825398
mỹ,3127,0.2481746031746032
vừa,3121,0.2476984126984127
tp,3113,0.24706349206349207
rồi,3107,0.24658730158730158
bạn,3100,0.24603174603174602
chính_phủ,3096,0.24571428571428572
nội_dung,3048,0.2419047619047619
nhằm,3043,0.2415079365079365
yêu_cầu,3021,0.23976190476190476
ban,3015,0.2392857142857143
muốn,3005,0.2384920634920635
quan_tâm,3005,0.2384920634920635
sao,2980,0.2365079365079365
quyết_định,2962,0.23507936507936508
vấn_đề,2942,0.2334920634920635
lực_lượng,2928,0.23238095238095238
chiều,2925,0.23214285714285715
quyền,2924,0.23206349206349206
giữ,2918,0.2315873015873016
báo,2909,0.23087301587301587
phạm,2883,0.2288095238095238
lê,2860,0.22698412698412698
cái,2854,0.22650793650793652
bà,2849,0.22611111111111112
quốc_tế,2831,0.22468253968253968
địa_phương,2811,0.2230952380952381
tạo,2810,0.22301587301587303
ảnh_hưởng,2806,0.2226984126984127
hiện,2744,0.21777777777777776
biển,2740,0.21746031746031746
chính_quyền,2717,0.21563492063492062
tìm,2705,0.21468253968253967
đúng,2703,0.21452380952380953
điều_tra,2699,0.2142063492063492
không_thể,2697,0.21404761904761904
thế_giới,2693,0.21373015873015874
quan_trọng,2691,0.21357142857142858
tham_gia,2687,0.21325396825396825
mất,2684,0.21301587301587302
ta,2681,0.2127777777777778
tôi,2671,0.211984126984127
bảo_vệ,2662,0.21126984126984127
khỏi,2649,0.21023809523809525
hòa,2644,0.20984126984126983
tính,2643,0.20976190476190476
gia_đình,2633,0.20896825396825397
tất_cả,2626,0.2084126984126984
mỗi,2624,0.20825396825396825
lấy,2623,0.20817460317460318
công_tác,2618,0.20777777777777778
nhóm,2616,0.20761904761904762
đồng_thời,2599,0.20626984126984127
hoa,2599,0.20626984126984127
đất,2588,0.20539682539682538
kỳ,2579,0.2046825396825397
dùng,2571,0.20404761904761906
trần,2559,0.2030952380952381
chống,2556,0.20285714285714285
gọi,2545,0.201984126984127
quy_định,2544,0.2019047619047619
xã,2537,0.20134920634920636
h,2528,0.20063492063492064
tiếp,2527,0.20055555555555554
sang,2525,0.2003968253968254
nguồn,2519,0.19992063492063492
phần,2517,0.19976190476190475
hãy,2514,0.19952380952380952
vùng,2511,0.1992857142857143
mức,2506,0.1988888888888889
bắt,2505,0.1988095238095238
tỷ,2505,0.1988095238095238
quản_lý,2493,0.19785714285714287
cộng_sản,2485,0.19722222222222222
thế,2483,0.19706349206349205
đứng,2482,0.19698412698412698
làm_việc,2473,0.19626984126984126
quá,2471,0.19611111111111112
công_ty,2471,0.19611111111111112
đất_nước,2456,0.1949206349206349
châu,2453,0.19468253968253968
sống,2451,0.19452380952380952
xuống,2447,0.19420634920634922
đức,2439,0.19357142857142856
cán_bộ,2435,0.19325396825396826
bỏ,2430,0.19285714285714287
phú,2427,0.1926190476190476
chung,2426,0.19253968253968254
đủ,2425,0.19246031746031747
án,2415,0.19166666666666668
tên,2408,0.19111111111111112
thị,2396,0.19015873015873017
đầu_tư,2386,0.18936507936507938
đặt,2374,0.18841269841269842
hệ_thống,2369,0.18801587301587303
kể,2359,0.18722222222222223
hải,2351,0.18658730158730158
xin,2348,0.18634920634920635
xe,2344,0.18603174603174602
gặp,2342,0.18587301587301588
hiện_nay,2329,0.18484126984126983
nhìn,2326,0.1846031746031746
trách_nhiệm,2325,0.18452380952380953
dù,2307,0.1830952380952381
thành_phố,2295,0.18214285714285713
an_ninh,2294,0.18206349206349207
thanh,2294,0.18206349206349207
phòng,2281,0.18103174603174604
thủ_tướng,2279,0.18087301587301588
bởi,2278,0.18079365079365078
hành_vi,2278,0.18079365079365078
chính_sách,2276,0.18063492063492065
tài_sản,2275,0.18055555555555555
nguyên,2271,0.18023809523809523
đề_nghị,2262,0.17952380952380953
vậy,2251,0.17865079365079364
luôn,2250,0.17857142857142858
hỗ_trợ,2242,0.17793650793650795
hà,2237,0.17753968253968255
xem,2231,0.17706349206349206
m,2230,0.176984126984127
hồ,2229,0.1769047619047619
trở_thành,2224,0.1765079365079365
nằm,2218,0.17603174603174604
mạnh,2216,0.17587301587301588
giúp,2215,0.1757936507936508
khả_năng,2214,0.1757142857142857
hết,2210,0.17539682539682538
chết,2204,0.17492063492063492
cá_nhân,2204,0.17492063492063492
nêu,2195,0.1742063492063492
trung_ương,2194,0.17412698412698413
