Model,Accuracy (%),Difference in Predictions (%)
DT,87.05193855157279,12.948061448427211
NB,92.8310168251646,7.168983174835406
RFC,92.8310168251646,7.168983174835406
SVM,94.22092172640819,5.779078273591807
