Model,Accuracy (%),Difference in Predictions (%)
DT,85.73518653986832,14.264813460131675
NB,93.12362838332115,6.876371616678859
RFC,92.90416971470373,7.095830285296269
SVM,92.17264081931236,7.827359180687638
