Model,Accuracy (%),Difference in Predictions (%)
DT,91.29480614484272,8.705193855157278
NB,91.36795903438187,8.632040965618142
RFC,93.92831016825166,6.071689831748354
SVM,93.26993416239941,6.730065837600585
