Model,Accuracy (%),Difference in Predictions (%)
DT,84.71104608632041,15.28895391367959
NB,91.73372348207755,8.266276517922458
RFC,91.441111923921,8.558888076079004
SVM,91.6605705925384,8.339429407461594
