evaluation_metrics,Value
Precision (PPV),0.984179301252472
Recall (TPR),0.9663430420711974
Accuracy (ACC),0.9758730158730159
F1-Score,0.9751796211626388
False Positive Rate (FPR),0.014953271028037384
False Negative Rate (FNR),0.03365695792880259
