evaluation_metrics,Value
Precision (PPV),0.9273560209424084
Recall (TPR),0.9171521035598705
Accuracy (ACC),0.9241269841269841
F1-Score,0.9222258379433778
False Positive Rate (FPR),0.0691588785046729
False Negative Rate (FNR),0.08284789644012945
