evaluation_metrics,Value
Precision (PPV),0.9504823151125402
Recall (TPR),0.9566343042071197
Accuracy (ACC),0.9542857142857143
F1-Score,0.9535483870967741
False Positive Rate (FPR),0.047975077881619935
False Negative Rate (FNR),0.04336569579288026
