evaluation_metrics,Value
Precision (PPV),0.9895081967213115
Recall (TPR),0.9766990291262136
Accuracy (ACC),0.9834920634920635
F1-Score,0.9830618892508143
False Positive Rate (FPR),0.009968847352024923
False Negative Rate (FNR),0.02330097087378641
