evaluation_metrics,Value
Precision (PPV),0.916871921182266
Recall (TPR),0.9637540453074434
Accuracy (ACC),0.9393650793650794
F1-Score,0.9397286210160934
False Positive Rate (FPR),0.08411214953271028
False Negative Rate (FNR),0.036245954692556634
