evaluation_metrics,Value
Precision (PPV),0.9753726506804925
Recall (TPR),0.9741100323624595
Accuracy (ACC),0.9752380952380952
F1-Score,0.9747409326424871
False Positive Rate (FPR),0.02367601246105919
False Negative Rate (FNR),0.025889967637540454
