evaluation_metrics,Value
Precision (PPV),0.9623131903833658
Recall (TPR),0.9585760517799353
Accuracy (ACC),0.9612698412698413
F1-Score,0.9604409857328146
False Positive Rate (FPR),0.03613707165109034
False Negative Rate (FNR),0.041423948220064725
