evaluation_metrics,Value
Precision (PPV),0.9746588693957114
Recall (TPR),0.970873786407767
Accuracy (ACC),0.9733333333333334
F1-Score,0.9727626459143969
False Positive Rate (FPR),0.024299065420560748
False Negative Rate (FNR),0.02912621359223301
